Detector;Time;qPKW;vPKW
27504I;0;38;40
27504I;60;17;40
27504I;120;16;40
27504I;180;11;40
27504I;240;16;40
27504I;300;64;40
27504I;360;141;40
27504I;420;301;40
27504I;480;283;40
27504I;540;276;40
27504I;600;199;40
27504I;660;208;40
27504I;720;226;40
27504I;780;177;40
27504I;840;228;40
27504I;900;244;40
27504I;960;237;40
27504I;1020;287;40
27504I;1080;231;40
27504I;1140;174;40
27504I;1200;165;40
27504I;1260;151;40
27504I;1320;96;40
27504I;1380;77;40
27504O;0;21;40
27504O;60;18;40
27504O;120;13;40
27504O;180;10;40
27504O;240;7;40
27504O;300;19;40
27504O;360;58;40
27504O;420;139;40
27504O;480;272;40
27504O;540;230;40
27504O;600;189;40
27504O;660;194;40
27504O;720;217;40
27504O;780;161;40
27504O;840;224;40
27504O;900;272;40
27504O;960;314;40
27504O;1020;279;40
27504O;1080;227;40
27504O;1140;154;40
27504O;1200;124;40
27504O;1260;111;40
27504O;1320;47;40
27504O;1380;42;40
e1_18I;0;27;40
e1_18I;60;14;40
e1_18I;120;9;40
e1_18I;180;9;40
e1_18I;240;10;40
e1_18I;300;20;40
e1_18I;360;59;40
e1_18I;420;103;40
e1_18I;480;157;40
e1_18I;540;171;40
e1_18I;600;177;40
e1_18I;660;192;40
e1_18I;720;213;40
e1_18I;780;227;40
e1_18I;840;220;40
e1_18I;900;238;40
e1_18I;960;266;40
e1_18I;1020;264;40
e1_18I;1080;239;40
e1_18I;1140;176;40
e1_18I;1200;133;40
e1_18I;1260;100;40
e1_18I;1320;67;40
e1_18I;1380;45;40
e1_18O;0;29;40
e1_18O;60;15;40
e1_18O;120;10;40
e1_18O;180;13;40
e1_18O;240;12;40
e1_18O;300;26;40
e1_18O;360;59;40
e1_18O;420;115;40
e1_18O;480;169;40
e1_18O;540;164;40
e1_18O;600;164;40
e1_18O;660;178;40
e1_18O;720;202;40
e1_18O;780;216;40
e1_18O;840;213;40
e1_18O;900;232;40
e1_18O;960;255;40
e1_18O;1020;264;40
e1_18O;1080;240;40
e1_18O;1140;185;40
e1_18O;1200;145;40
e1_18O;1260;111;40
e1_18O;1320;74;40
e1_18O;1380;47;40
361240I;0;5;40
361240I;60;3;40
361240I;120;2;40
361240I;180;2;40
361240I;240;2;40
361240I;300;4;40
361240I;360;12;40
361240I;420;20;40
361240I;480;31;40
361240I;540;34;40
361240I;600;35;40
361240I;660;38;40
361240I;720;42;40
361240I;780;45;40
361240I;840;43;40
361240I;900;47;40
361240I;960;52;40
361240I;1020;52;40
361240I;1080;47;40
361240I;1140;34;40
361240I;1200;26;40
361240I;1260;20;40
361240I;1320;13;40
361240I;1380;9;40
361240O;0;6;40
361240O;60;3;40
361240O;120;2;40
361240O;180;3;40
361240O;240;2;40
361240O;300;5;40
361240O;360;12;40
361240O;420;23;40
361240O;480;33;40
361240O;540;32;40
361240O;600;32;40
361240O;660;35;40
361240O;720;40;40
361240O;780;42;40
361240O;840;42;40
361240O;900;45;40
361240O;960;50;40
361240O;1020;52;40
361240O;1080;47;40
361240O;1140;36;40
361240O;1200;29;40
361240O;1260;22;40
361240O;1320;15;40
361240O;1380;9;40
229270;0;4;40
229270;60;2;40
229270;120;2;40
229270;180;2;40
229270;240;2;40
229270;300;4;40
229270;360;10;40
229270;420;17;40
229270;480;25;40
229270;540;26;40
229270;600;27;40
229270;660;29;40
229270;720;33;40
229270;780;35;40
229270;840;34;40
229270;900;37;40
229270;960;41;40
229270;1020;42;40
229270;1080;38;40
229270;1140;28;40
229270;1200;21;40
229270;1260;17;40
229270;1320;11;40
229270;1380;7;40
50401MI;0;47;40
50401MI;60;31;40
50401MI;120;14;40
50401MI;180;39;40
50401MI;240;89;40
50401MI;300;137;40
50401MI;360;418;40
50401MI;420;560;40
50401MI;480;565;40
50401MI;540;526;40
50401MI;600;436;40
50401MI;660;438;40
50401MI;720;445;40
50401MI;780;495;40
50401MI;840;719;40
50401MI;900;827;40
50401MI;960;878;40
50401MI;1020;748;40
50401MI;1080;702;40
50401MI;1140;533;40
50401MI;1200;288;40
50401MI;1260;183;40
50401MI;1320;158;40
50401MI;1380;111;40
50401MO;0;52;40
50401MO;60;32;40
50401MO;120;15;40
50401MO;180;57;40
50401MO;240;103;40
50401MO;300;179;40
50401MO;360;422;40
50401MO;420;621;40
50401MO;480;607;40
50401MO;540;506;40
50401MO;600;404;40
50401MO;660;405;40
50401MO;720;423;40
50401MO;780;471;40
50401MO;840;697;40
50401MO;900;806;40
50401MO;960;841;40
50401MO;1020;748;40
50401MO;1080;705;40
50401MO;1140;560;40
50401MO;1200;315;40
50401MO;1260;201;40
50401MO;1320;174;40
50401MO;1380;117;40
27431MI;0;18;40
27431MI;60;10;40
27431MI;120;6;40
27431MI;180;6;40
27431MI;240;8;40
27431MI;300;25;40
27431MI;360;63;40
27431MI;420;118;40
27431MI;480;193;40
27431MI;540;173;40
27431MI;600;102;40
27431MI;660;121;40
27431MI;720;140;40
27431MI;780;124;40
27431MI;840;152;40
27431MI;900;155;40
27431MI;960;186;40
27431MI;1020;176;40
27431MI;1080;162;40
27431MI;1140;95;40
27431MI;1200;104;40
27431MI;1260;62;40
27431MI;1320;56;40
27431MI;1380;36;40
27431MO;0;19;40
27431MO;60;13;40
27431MO;120;7;40
27431MO;180;3;40
27431MO;240;6;40
27431MO;300;13;40
27431MO;360;62;40
27431MO;420;124;40
27431MO;480;133;40
27431MO;540;135;40
27431MO;600;102;40
27431MO;660;106;40
27431MO;720;103;40
27431MO;780;118;40
27431MO;840;176;40
27431MO;900;155;40
27431MO;960;159;40
27431MO;1020;195;40
27431MO;1080;121;40
27431MO;1140;97;40
27431MO;1200;110;40
27431MO;1260;69;40
27431MO;1320;50;40
27431MO;1380;23;40
350740I;0;19;40
350740I;60;10;40
350740I;120;6;40
350740I;180;6;40
350740I;240;7;40
350740I;300;14;40
350740I;360;41;40
350740I;420;73;40
350740I;480;110;40
350740I;540;120;40
350740I;600;124;40
350740I;660;135;40
350740I;720;150;40
350740I;780;160;40
350740I;840;155;40
350740I;900;167;40
350740I;960;187;40
350740I;1020;186;40
350740I;1080;168;40
350740I;1140;123;40
350740I;1200;94;40
350740I;1260;71;40
350740I;1320;47;40
350740I;1380;31;40
350740O;0;21;40
350740O;60;10;40
350740O;120;7;40
350740O;180;9;40
350740O;240;8;40
350740O;300;18;40
350740O;360;42;40
350740O;420;81;40
350740O;480;119;40
350740O;540;115;40
350740O;600;115;40
350740O;660;125;40
350740O;720;142;40
350740O;780;152;40
350740O;840;150;40
350740O;900;163;40
350740O;960;179;40
350740O;1020;186;40
350740O;1080;169;40
350740O;1140;130;40
350740O;1200;102;40
350740O;1260;78;40
350740O;1320;52;40
350740O;1380;33;40
27415MI;0;41;40
27415MI;60;27;40
27415MI;120;14;40
27415MI;180;11;40
27415MI;240;17;40
27415MI;300;77;40
27415MI;360;158;40
27415MI;420;284;40
27415MI;480;263;40
27415MI;540;266;40
27415MI;600;172;40
27415MI;660;214;40
27415MI;720;228;40
27415MI;780;175;40
27415MI;840;255;40
27415MI;900;260;40
27415MI;960;271;40
27415MI;1020;324;40
27415MI;1080;262;40
27415MI;1140;208;40
27415MI;1200;181;40
27415MI;1260;131;40
27415MI;1320;99;40
27415MI;1380;83;40
27415MO;0;40;40
27415MO;60;24;40
27415MO;120;14;40
27415MO;180;12;40
27415MO;240;25;40
27415MO;300;68;40
27415MO;360;101;40
27415MO;420;98;40
27415MO;480;116;40
27415MO;540;143;40
27415MO;600;167;40
27415MO;660;172;40
27415MO;720;183;40
27415MO;780;166;40
27415MO;840;195;40
27415MO;900;215;40
27415MO;960;220;40
27415MO;1020;184;40
27415MO;1080;190;40
27415MO;1140;164;40
27415MO;1200;180;40
27415MO;1260;139;40
27415MO;1320;104;40
27415MO;1380;97;40
e1_6I;0;8;40
e1_6I;60;4;40
e1_6I;120;3;40
e1_6I;180;3;40
e1_6I;240;3;40
e1_6I;300;6;40
e1_6I;360;18;40
e1_6I;420;31;40
e1_6I;480;48;40
e1_6I;540;52;40
e1_6I;600;53;40
e1_6I;660;58;40
e1_6I;720;64;40
e1_6I;780;69;40
e1_6I;840;67;40
e1_6I;900;72;40
e1_6I;960;81;40
e1_6I;1020;80;40
e1_6I;1080;72;40
e1_6I;1140;53;40
e1_6I;1200;40;40
e1_6I;1260;30;40
e1_6I;1320;20;40
e1_6I;1380;13;40
e1_6O;0;9;40
e1_6O;60;4;40
e1_6O;120;3;40
e1_6O;180;4;40
e1_6O;240;4;40
e1_6O;300;8;40
e1_6O;360;18;40
e1_6O;420;35;40
e1_6O;480;51;40
e1_6O;540;50;40
e1_6O;600;50;40
e1_6O;660;54;40
e1_6O;720;61;40
e1_6O;780;65;40
e1_6O;840;65;40
e1_6O;900;70;40
e1_6O;960;77;40
e1_6O;1020;80;40
e1_6O;1080;73;40
e1_6O;1140;56;40
e1_6O;1200;44;40
e1_6O;1260;33;40
e1_6O;1320;22;40
e1_6O;1380;14;40
294185I;0;13;40
294185I;60;7;40
294185I;120;5;40
294185I;180;5;40
294185I;240;5;40
294185I;300;10;40
294185I;360;30;40
294185I;420;53;40
294185I;480;80;40
294185I;540;87;40
294185I;600;90;40
294185I;660;98;40
294185I;720;108;40
294185I;780;116;40
294185I;840;112;40
294185I;900;121;40
294185I;960;135;40
294185I;1020;134;40
294185I;1080;122;40
294185I;1140;89;40
294185I;1200;68;40
294185I;1260;51;40
294185I;1320;34;40
294185I;1380;23;40
294185O;0;15;40
294185O;60;8;40
294185O;120;5;40
294185O;180;7;40
294185O;240;6;40
294185O;300;13;40
294185O;360;30;40
294185O;420;58;40
294185O;480;86;40
294185O;540;84;40
294185O;600;83;40
294185O;660;90;40
294185O;720;103;40
294185O;780;110;40
294185O;840;109;40
294185O;900;118;40
294185O;960;130;40
294185O;1020;134;40
294185O;1080;122;40
294185O;1140;94;40
294185O;1200;74;40
294185O;1260;56;40
294185O;1320;38;40
294185O;1380;24;40
e1_4I;0;27;40
e1_4I;60;14;40
e1_4I;120;9;40
e1_4I;180;9;40
e1_4I;240;11;40
e1_4I;300;20;40
e1_4I;360;60;40
e1_4I;420;106;40
e1_4I;480;161;40
e1_4I;540;175;40
e1_4I;600;181;40
e1_4I;660;197;40
e1_4I;720;218;40
e1_4I;780;233;40
e1_4I;840;226;40
e1_4I;900;244;40
e1_4I;960;273;40
e1_4I;1020;271;40
e1_4I;1080;245;40
e1_4I;1140;180;40
e1_4I;1200;137;40
e1_4I;1260;103;40
e1_4I;1320;69;40
e1_4I;1380;46;40
e1_4O;0;30;40
e1_4O;60;15;40
e1_4O;120;10;40
e1_4O;180;13;40
e1_4O;240;12;40
e1_4O;300;27;40
e1_4O;360;61;40
e1_4O;420;118;40
e1_4O;480;173;40
e1_4O;540;168;40
e1_4O;600;168;40
e1_4O;660;182;40
e1_4O;720;207;40
e1_4O;780;222;40
e1_4O;840;219;40
e1_4O;900;237;40
e1_4O;960;262;40
